"","GOI","Freq"
"79","ENSG00000106538.10",88
"151","ENSG00000127324.9",88
"343","ENSG00000181885.18",88
"95","ENSG00000109610.6",87
"241","ENSG00000156587.16",87
"301","ENSG00000167779.9",87
"444","ENSG00000218175.2",87
"6","ENSG00000011347.10",86
"31","ENSG00000077942.19",86
"351","ENSG00000184254.17",86
"356","ENSG00000185885.16",86
"171","ENSG00000131844.16",85
"187","ENSG00000135916.16",85
"466","ENSG00000234741.8",85
"288","ENSG00000166165.13",84
"291","ENSG00000166823.5",84
"196","ENSG00000138080.14",83
"200","ENSG00000140526.18",83
"221","ENSG00000146477.6",83
"22","ENSG00000067113.17",82
"37","ENSG00000084234.18",81
"101","ENSG00000112562.19",81
"174","ENSG00000132386.11",80
"252","ENSG00000159176.14",80
"289","ENSG00000166482.12",80
"331","ENSG00000174938.14",80
"81","ENSG00000106624.11",79
"108","ENSG00000115461.5",79
"222","ENSG00000148180.21",79
"225","ENSG00000148908.15",79
"235","ENSG00000152583.12",79
"178","ENSG00000133321.11",78
"230","ENSG00000151726.15",78
"89","ENSG00000108679.13",77
"127","ENSG00000122026.10",77
"189","ENSG00000136167.15",77
"207","ENSG00000142192.21",77
"237","ENSG00000154447.15",76
"94","ENSG00000109586.12",75
"141","ENSG00000124942.14",75
"170","ENSG00000131771.14",75
"41","ENSG00000090006.18",74
"305","ENSG00000168743.13",74
"245","ENSG00000157613.11",73
"279","ENSG00000164403.15",73
"363","ENSG00000187601.5",73
"112","ENSG00000116299.17",72
"126","ENSG00000121858.11",72
"453","ENSG00000227191.8",72
"234","ENSG00000152518.8",70
"15","ENSG00000027001.10",69
"52","ENSG00000100234.12",68
"56","ENSG00000100979.15",68
"91","ENSG00000108821.14",68
"228","ENSG00000151500.15",68
"467","ENSG00000237550.5",67
"489","ENSG00000257084.1",67
"62","ENSG00000102172.16",66
"443","ENSG00000213626.13",66
"32","ENSG00000079308.19",65
"144","ENSG00000125257.16",65
"395","ENSG00000204389.10",63
"377","ENSG00000196924.19",61
"162","ENSG00000130175.10",60
"146","ENSG00000125730.17",57
"169","ENSG00000131143.10",57
"312","ENSG00000169908.12",56
"480","ENSG00000246705.4",55
"503","ENSG00000279483.2",55
"190","ENSG00000137076.21",52
"346","ENSG00000182326.15",51
"74","ENSG00000105707.14",50
"177","ENSG00000132821.12",50
"474","ENSG00000242899.1",48
"49","ENSG00000099194.6",47
"148","ENSG00000125968.9",47
"242","ENSG00000157214.14",47
"102","ENSG00000112715.25",45
"402","ENSG00000211445.12",45
"118","ENSG00000117472.10",42
"457","ENSG00000229119.3",42
"113","ENSG00000116574.6",40
"272","ENSG00000163344.6",40
"348","ENSG00000182795.13",40
"246","ENSG00000157911.11",38
"254","ENSG00000159184.8",38
"294","ENSG00000167034.10",36
"132","ENSG00000123358.20",34
"233","ENSG00000152377.14",32
"266","ENSG00000162817.7",30
"280","ENSG00000164647.9",30
"337","ENSG00000177469.13",29
"204","ENSG00000141753.7",28
"188","ENSG00000135929.9",27
"479","ENSG00000245532.9",27
"86","ENSG00000107796.13",25
"341","ENSG00000180596.7",25
"9","ENSG00000013306.16",23
"199","ENSG00000140416.23",23
"302","ENSG00000167799.10",23
"442","ENSG00000212907.2",23
"131","ENSG00000122786.20",21
"310","ENSG00000169710.9",19
"4","ENSG00000007255.10",17
"212","ENSG00000143753.13",17
"445","ENSG00000223298.1",17
"133","ENSG00000123983.14",15
"202","ENSG00000141736.14",15
"30","ENSG00000076864.19",14
"172","ENSG00000131981.16",14
"123","ENSG00000120885.22",13
"451","ENSG00000227063.5",13
"282","ENSG00000164692.18",12
"309","ENSG00000169504.15",12
"67","ENSG00000104154.7",10
"161","ENSG00000129514.8",10
"208","ENSG00000142871.18",10
